0, exc, bneuron_d_0: 1.0, bneuron_v_0: 0.0
0, exc, bneuron_d_1: 0.0, bneuron_v_1: 0.92
0, exc, bneuron_d_1: 0.0, bneuron_v_1: 0.92
0, exc, bneuron_d_2: 0.39, bneuron_v_2: 0.0
0, exc, bneuron_d_2: 0.39, bneuron_v_2: 0.0
0, exc, bneuron_d_3: 0.64, bneuron_v_3: 0.0
0, exc, bneuron_d_3: 0.64, bneuron_v_3: 0.0
0, exc, bneuron_d_4: 0.0, bneuron_v_4: 0.87
0, exc, bneuron_d_4: 0.0, bneuron_v_4: 0.87
0, exc, bneuron_d_5: 0.25, bneuron_v_5: 0.0
0, exc, bneuron_d_5: 0.25, bneuron_v_5: 0.0
0, exc, bneuron_d_6: 0.41, bneuron_v_6: 0.0
0, exc, bneuron_d_6: 0.41, bneuron_v_6: 0.0
0, exc, bneuron_d_7: 0.0, bneuron_v_7: 0.56
0, exc, bneuron_d_7: 0.0, bneuron_v_7: 0.56
0, exc, bneuron_d_8: 0.98, bneuron_v_8: 0.0
0, exc, bneuron_d_8: 0.98, bneuron_v_8: 0.0
0, exc, bneuron_d_9: 0.0, bneuron_v_9: 0.04
0, exc, bneuron_d_9: 0.0, bneuron_v_9: 0.04
0, exc, bneuron_d_10: 0.0, bneuron_v_10: 0.86
0, exc, bneuron_d_10: 0.0, bneuron_v_10: 0.86
1000, exc, bneuron_d_0: 1.0, bneuron_v_0: 0.0
1000, exc, bneuron_d_1: 0.0, bneuron_v_1: 0.26
1000, exc, bneuron_d_1: 0.0, bneuron_v_1: 0.26
1000, exc, bneuron_d_2: 0.0, bneuron_v_2: 0.25
1000, exc, bneuron_d_2: 0.0, bneuron_v_2: 0.25
1000, exc, bneuron_d_3: 0.0, bneuron_v_3: 0.37
1000, exc, bneuron_d_3: 0.0, bneuron_v_3: 0.37
1000, exc, bneuron_d_4: 0.0, bneuron_v_4: 0.9
1000, exc, bneuron_d_4: 0.0, bneuron_v_4: 0.9
1000, exc, bneuron_d_5: 0.41, bneuron_v_5: 0.0
1000, exc, bneuron_d_5: 0.41, bneuron_v_5: 0.0
1000, exc, bneuron_d_6: 0.27, bneuron_v_6: 0.0
1000, exc, bneuron_d_6: 0.27, bneuron_v_6: 0.0
1000, exc, bneuron_d_7: 0.0, bneuron_v_7: 0.18
1000, exc, bneuron_d_7: 0.0, bneuron_v_7: 0.18
1000, exc, bneuron_d_8: 0.9, bneuron_v_8: 0.0
1000, exc, bneuron_d_8: 0.9, bneuron_v_8: 0.0
1000, exc, bneuron_d_9: 0.0, bneuron_v_9: 0.52
1000, exc, bneuron_d_9: 0.0, bneuron_v_9: 0.52
1000, exc, bneuron_d_10: 0.0, bneuron_v_10: 0.25
1000, exc, bneuron_d_10: 0.0, bneuron_v_10: 0.25
2000, exc, bneuron_d_0: 1.0, bneuron_v_0: 0.0
2000, exc, bneuron_d_1: 0.1, bneuron_v_1: 0.0
2000, exc, bneuron_d_1: 0.1, bneuron_v_1: 0.0
2000, exc, bneuron_d_2: 0.13, bneuron_v_2: 0.0
